Year;Date;Time;Round;Stadium;City;Country;HomeTeam;HomeGoals;AwayGoals;AwayTeam;Observation
1962;1962-06-07 00:00:00.000;" 15:00 ";Group 2;Nacional;"Santiago De Chile ";Chile;Italy;3;0;Switzerland;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Carlos Dittborn;"Arica ";Chile;Chile;2;1;Soviet Union;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Estadio Sausalito;"Vina Del Mar ";Chile;Brazil;3;1;England;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Estadio El Teniente-Codelco;"Rancagua ";Chile;Czechoslovakia;1;0;Hungary;" "
1962;1962-06-10 00:00:00.000;" 14:30 ";Quarter-finals;Nacional;"Santiago De Chile ";Chile;Yugoslavia;1;0;Germany FR;" "
1962;1962-06-13 00:00:00.000;" 14:30 ";Semi-finals;Estadio Sausalito;"Vina Del Mar ";Chile;Czechoslovakia;3;1;Yugoslavia;" "
1962;1962-06-13 00:00:00.000;" 14:30 ";Semi-finals;Nacional;"Santiago De Chile ";Chile;Brazil;4;2;Chile;" "
1962;1962-06-16 00:00:00.000;" 14:30 ";Match for third place;Nacional;"Santiago De Chile ";Chile;Chile;1;0;Yugoslavia;" "
1962;1962-06-17 00:00:00.000;" 14:30 ";Final;Nacional;"Santiago De Chile ";Chile;Brazil;3;1;Czechoslovakia;" "
1966;1966-07-11 00:00:00.000;" 19:30 ";Group 1;Wembley Stadium;"London ";England;England;0;0;Uruguay;" "
1966;1966-07-12 00:00:00.000;" 19:30 ";Group 2;Hillsborough;"Sheffield ";England;Germany FR;5;0;Switzerland;" "
1966;1966-07-12 00:00:00.000;" 19:30 ";Group 3;Goodison Park;"Liverpool ";England;Brazil;2;0;Bulgaria;" "
1966;1966-07-12 00:00:00.000;" 19:30 ";Group 4;Ayresome Park;"Middlesbrough ";England;Soviet Union;3;0;Korea DPR;" "
1966;1966-07-13 00:00:00.000;" 19:30 ";Group 1;Wembley Stadium;"London ";England;France;1;1;Mexico;" "
1966;1966-07-13 00:00:00.000;" 19:30 ";Group 3;Old Trafford Stadium;"Manchester ";England;Portugal;3;1;Hungary;" "
1966;1966-07-13 00:00:00.000;" 19:30 ";Group 2;Villa Park;"Birmingham ";England;Argentina;2;1;Spain;" "
1966;1966-07-13 00:00:00.000;" 19:30 ";Group 4;Roker Park Ground;"Sunderland ";England;Italy;2;0;Chile;" "
1966;1966-07-15 00:00:00.000;" 19:30 ";Group 1;White City;"London ";England;Uruguay;2;1;France;" "
1966;1966-07-15 00:00:00.000;" 19:30 ";Group 2;Hillsborough;"Sheffield ";England;Spain;2;1;Switzerland;" "
1966;1966-07-15 00:00:00.000;" 19:30 ";Group 3;Goodison Park;"Liverpool ";England;Hungary;3;1;Brazil;" "
1966;1966-07-15 00:00:00.000;" 19:30 ";Group 4;Ayresome Park;"Middlesbrough ";England;Korea DPR;1;1;Chile;" "
1966;1966-07-16 00:00:00.000;" 15:00 ";Group 3;Old Trafford Stadium;"Manchester ";England;Portugal;3;0;Bulgaria;" "
1966;1966-07-16 00:00:00.000;" 15:00 ";Group 2;Villa Park;"Birmingham ";England;Germany FR;0;0;Argentina;" "
1966;1966-07-16 00:00:00.000;" 15:00 ";Group 4;Roker Park Ground;"Sunderland ";England;Soviet Union;1;0;Italy;" "
1966;1966-07-16 00:00:00.000;" 19:30 ";Group 1;Wembley Stadium;"London ";England;England;2;0;Mexico;" "
1966;1966-07-19 00:00:00.000;" 16:30 ";Group 1;Wembley Stadium;"London ";England;Uruguay;0;0;Mexico;" "
1966;1966-07-19 00:00:00.000;" 19:30 ";Group 2;Hillsborough;"Sheffield ";England;Argentina;2;0;Switzerland;" "
1966;1966-07-19 00:00:00.000;" 19:30 ";Group 3;Goodison Park;"Liverpool ";England;Portugal;3;1;Brazil;" "
1966;1966-07-19 00:00:00.000;" 19:30 ";Group 4;Ayresome Park;"Middlesbrough ";England;Korea DPR;1;0;Italy;" "
1966;1966-07-20 00:00:00.000;" 19:30 ";Group 1;Wembley Stadium;"London ";England;England;2;0;France;" "
1966;1966-07-20 00:00:00.000;" 19:30 ";Group 3;Old Trafford Stadium;"Manchester ";England;Hungary;3;1;Bulgaria;" "
1966;1966-07-20 00:00:00.000;" 19:30 ";Group 2;Villa Park;"Birmingham ";England;Germany FR;2;1;Spain;" "
1966;1966-07-20 00:00:00.000;" 19:30 ";Group 4;Roker Park Ground;"Sunderland ";England;Soviet Union;2;1;Chile;" "
1966;1966-07-23 00:00:00.000;" 15:00 ";Quarter-finals;Wembley Stadium;"London ";England;England;1;0;Argentina;" "
